iter	MultiRMSE
0	2.771948212
1	2.712599374
2	2.653971754
3	2.597822794
4	2.54216769
5	2.488825805
6	2.436539668
7	2.386267506
8	2.337207074
9	2.288575987
10	2.24184488
11	2.195701168
12	2.151434933
13	2.107784528
14	2.065106308
15	2.024315232
16	1.984195795
17	1.945233807
18	1.906910635
19	1.869951277
20	1.834188809
21	1.799378296
22	1.765608972
23	1.732490501
24	1.700367001
25	1.668746501
26	1.638181471
27	1.608232053
28	1.578990971
29	1.550555877
30	1.523113574
31	1.495995542
32	1.469420753
33	1.444212805
34	1.419188666
35	1.394165834
36	1.370545673
37	1.347463694
38	1.324654168
39	1.303127515
40	1.281289291
41	1.259791555
42	1.239307087
43	1.219464756
44	1.200235748
45	1.181846653
46	1.163830527
47	1.145525389
48	1.127385999
49	1.109805432
50	1.092725381
51	1.075718426
52	1.059629726
53	1.043930376
54	1.028497622
55	1.013539669
56	0.9986515639
57	0.9848290396
58	0.971326704
59	0.9576752156
60	0.9440895174
61	0.9306576662
62	0.9174181285
63	0.904739271
64	0.8921647816
65	0.8803452489
66	0.8686113036
67	0.8569853299
68	0.8454353688
69	0.8344724161
70	0.8239004057
71	0.8133216314
72	0.8033890226
73	0.7934068454
74	0.7834307461
75	0.7741448422
76	0.7651571147
77	0.7565330536
78	0.7480033595
79	0.7389964227
80	0.7305656675
81	0.7223717579
82	0.7143107169
83	0.7064165431
84	0.6983837125
85	0.6907778089
86	0.6835394852
87	0.6762203757
88	0.6693220418
89	0.6624187687
90	0.6552788431
91	0.6483467383
92	0.6417713574
93	0.635868081
94	0.6296336616
95	0.6235548119
96	0.6175870494
97	0.6117837837
98	0.606173547
99	0.6005976126
100	0.5949008966
101	0.5893994731
102	0.5840864927
103	0.5786217724
104	0.5734947027
105	0.5684370102
106	0.5638696948
107	0.5591281022
108	0.5544772003
109	0.5498431665
110	0.5454929949
111	0.5411383105
112	0.5368629972
113	0.5328292451
114	0.5287523353
115	0.5247238653
116	0.5207699228
117	0.5170821033
118	0.5134077578
119	0.5097009233
120	0.5061245811
121	0.5025927908
122	0.4991357559
123	0.4958510792
124	0.4926216891
125	0.4894267475
126	0.4864260582
127	0.4834755983
128	0.4803748826
129	0.4774150241
130	0.4744904072
131	0.4717307569
132	0.4690159359
133	0.4662978678
134	0.4639226578
135	0.4611757011
136	0.4587360521
137	0.4562482074
138	0.4538587786
139	0.4513420612
140	0.449175155
141	0.4468101684
142	0.4446208053
143	0.442331971
144	0.4400152494
145	0.438023711
146	0.4362629862
147	0.434028742
148	0.4317316713
149	0.4297638335
150	0.4279192205
151	0.4260792468
152	0.4242219814
153	0.4222004739
154	0.420480959
155	0.4187611459
156	0.4171586563
157	0.4152114297
158	0.4133994657
159	0.4116838355
160	0.4099331321
161	0.4082046554
162	0.4067645575
163	0.4053173775
164	0.4034244784
165	0.4018158436
166	0.4002376114
167	0.398971818
168	0.3977716297
169	0.3961241761
170	0.3947658595
171	0.3933787424
172	0.3922664414
173	0.3908721271
174	0.3896838434
175	0.3882880721
176	0.3871379843
177	0.3856925304
178	0.3843230014
179	0.3830323385
180	0.3816193736
181	0.3802361474
182	0.3791969597
183	0.3781759984
184	0.3770616151
185	0.3761188979
186	0.3751402095
187	0.374018394
188	0.3729721502
189	0.3716805806
190	0.3703628779
191	0.3695611436
192	0.3686923641
193	0.3675146157
194	0.3666905774
195	0.3658105082
196	0.3649985235
197	0.3640677954
198	0.3632598506
199	0.3620736074
200	0.3610908558
201	0.3602163888
202	0.3593213326
203	0.358190221
204	0.3572229894
205	0.3565785951
206	0.3556687732
207	0.3546187547
208	0.3535494498
209	0.3527399247
210	0.3521661728
211	0.3511012845
212	0.3502162965
213	0.3494048362
214	0.3486488386
215	0.3476388515
216	0.346747476
217	0.3459082424
218	0.3449387605
219	0.3442572005
220	0.3432897848
221	0.3421912494
222	0.3413307237
223	0.3406644195
224	0.3397514496
225	0.3387438868
226	0.3381712745
227	0.3373480805
228	0.3368926133
229	0.3359341096
230	0.3349632441
231	0.3342347341
232	0.3333153792
233	0.3326720327
234	0.3318976573
235	0.3311217641
236	0.3303127305
237	0.3296329225
238	0.3287935832
239	0.3279309303
240	0.3269556474
241	0.3260941739
242	0.3251473245
243	0.3245467143
244	0.3236224207
245	0.3228426755
246	0.3221085907
247	0.3213166193
248	0.3204154251
249	0.319849149
250	0.3193602152
251	0.3186711848
252	0.3179076799
253	0.3172173427
254	0.3164654651
255	0.3156850166
256	0.3150275413
257	0.3142450469
258	0.3133943497
259	0.3125895209
260	0.3120345114
261	0.3115159157
262	0.3108734874
263	0.3101300467
264	0.3095186
265	0.3087612552
266	0.3079389127
267	0.3071925824
268	0.3066626541
269	0.306084269
270	0.3053405172
271	0.3046997762
272	0.3040306529
273	0.3033636654
274	0.3026407197
275	0.3020870487
276	0.3014142545
277	0.3007254681
278	0.3000200703
279	0.299321263
280	0.2987520957
281	0.2980683695
282	0.2975127155
283	0.297118304
284	0.2965327061
285	0.2960124828
286	0.295365637
287	0.2946666766
288	0.2939253527
289	0.293351592
290	0.2927677162
291	0.2921568391
292	0.2917997487
293	0.2912415607
294	0.2906450603
295	0.2900633264
296	0.2894121808
297	0.288932432
298	0.2882925823
299	0.2877413022
300	0.2870328319
301	0.2865095478
302	0.2860158838
303	0.2854615223
304	0.2850653563
305	0.2845629035
306	0.2838751461
307	0.2834127016
308	0.2828265262
309	0.28231173
310	0.2818791537
311	0.2813362705
312	0.2808839846
313	0.2804419853
314	0.2798653647
315	0.2795116308
316	0.2789353134
317	0.2784193551
318	0.2777974652
319	0.2773080017
320	0.2768675378
321	0.2764555338
322	0.275785389
323	0.2751075799
324	0.2745763951
325	0.274068479
326	0.2735914862
327	0.2732326895
328	0.2727960025
329	0.2724148567
330	0.271889819
331	0.2712493232
332	0.2706966321
333	0.2701967977
334	0.2698812187
335	0.2695030399
336	0.2690624745
337	0.268522024
338	0.2680103036
339	0.26753588
340	0.2670550413
341	0.2666166294
342	0.2661705192
343	0.2659124526
344	0.2653176626
345	0.2648405119
346	0.2643540951
347	0.2637724718
348	0.2631878043
349	0.2629664793
350	0.2624944509
351	0.2619438285
352	0.2616586311
353	0.2612087947
354	0.2605902149
355	0.2600249391
356	0.2594555942
357	0.2590254691
358	0.2585017768
359	0.2580384637
360	0.2575819248
361	0.2569488575
362	0.25649983
363	0.2559815214
364	0.2557539333
365	0.2552397401
366	0.2547961785
367	0.2542868794
368	0.2537447816
369	0.2533039559
370	0.2528085238
371	0.2524205774
372	0.2519687202
373	0.2514926212
374	0.2509902742
375	0.2505293404
376	0.2501127756
377	0.249715444
378	0.2493205475
379	0.2488858236
380	0.2486602505
381	0.248341668
382	0.2479491209
383	0.2474523013
384	0.2470182032
385	0.2468196268
386	0.2464308058
387	0.2459200167
388	0.2455120653
389	0.2450535638
390	0.2445627625
391	0.2443437695
392	0.2439806177
393	0.2434979316
394	0.2430458825
395	0.2427327377
396	0.2422507275
397	0.2418171394
398	0.2414275738
399	0.2409561264
400	0.2405122869
401	0.2399706571
402	0.239566991
403	0.2391502116
404	0.2387680976
405	0.2383064416
406	0.2380917957
407	0.2377784232
408	0.2373794629
409	0.2369254324
410	0.2365044451
411	0.2360815071
412	0.2357133993
413	0.2353587228
414	0.2351551623
415	0.23480808
416	0.2344469231
417	0.2340440194
418	0.2336086669
419	0.2331885064
420	0.2330023797
421	0.2326107928
422	0.2322072983
423	0.2318218692
424	0.2314373439
425	0.2310862799
426	0.2307120001
427	0.2303187077
428	0.2299636477
429	0.2295768082
430	0.2292393049
431	0.2288665087
432	0.2284962465
433	0.2280966919
434	0.2277658991
435	0.2274383323
436	0.2270493879
437	0.2267429266
438	0.2264543308
439	0.2261354972
440	0.225792219
441	0.2255938539
442	0.2252266097
443	0.2249178791
444	0.2245848804
445	0.2242890338
446	0.2239595773
447	0.2236800402
448	0.2234531644
449	0.223222389
450	0.2229032888
451	0.2226954166
452	0.2223698897
453	0.2221556055
454	0.222010585
455	0.2217207771
456	0.2215301347
457	0.2211612935
458	0.2208113842
459	0.2204896375
460	0.2201155639
461	0.2199007795
462	0.2196161196
463	0.2193028665
464	0.2189414408
465	0.2186791865
466	0.2183394864
467	0.2179979659
468	0.2177637897
469	0.2176404837
470	0.2172654894
471	0.2171857396
472	0.2168927841
473	0.2166832771
474	0.2163687936
475	0.2160784196
476	0.2157335346
477	0.2155792219
478	0.2152391473
479	0.214916412
480	0.2145937689
481	0.2142977603
482	0.2140548074
483	0.2137357017
484	0.2134426822
485	0.2131050637
486	0.2128181126
487	0.2125226662
488	0.212215574
489	0.2119154794
490	0.2116637723
491	0.211378655
492	0.2111872402
493	0.2109334657
494	0.2106399522
495	0.2103354888
496	0.2100221622
497	0.2096935064
498	0.2093978461
499	0.2091119734
500	0.2088341458
501	0.2085532428
502	0.2083365072
503	0.2081375334
504	0.2079752401
505	0.2077131044
506	0.207476362
507	0.2072144578
508	0.206947529
509	0.2067584959
510	0.2065399017
511	0.2062723488
512	0.206049761
513	0.2058142524
514	0.2055467057
515	0.2054335818
516	0.2052037328
517	0.2049482439
518	0.2047758061
519	0.2045580931
520	0.2044267472
521	0.2041448602
522	0.2039148763
523	0.2036500718
524	0.203416257
525	0.203316489
526	0.2030379797
527	0.2028856709
528	0.2026680718
529	0.2025622919
530	0.2024550036
531	0.2022262165
532	0.2019949688
533	0.2018840007
534	0.2016564168
535	0.2014035848
536	0.2011263694
537	0.2008963076
538	0.2006487058
539	0.2005003697
540	0.2002891228
541	0.2000757651
542	0.1998410338
543	0.19964418
544	0.1993939924
545	0.1991796644
546	0.1990818556
547	0.1988657132
548	0.1987003267
549	0.1984603962
550	0.1981884264
551	0.1980081498
552	0.197771668
553	0.1975029521
554	0.1974177843
555	0.1972652895
556	0.1970549269
557	0.1970074841
558	0.1967945813
559	0.1965455205
560	0.1963204556
561	0.1962560201
562	0.1961464316
563	0.1959034562
564	0.1956957725
565	0.1954752883
566	0.1952325702
567	0.1951074559
568	0.1948703662
569	0.1946311498
570	0.1944744518
571	0.1943037258
572	0.1940649667
573	0.1939995777
574	0.193791758
575	0.1936367479
576	0.1934222486
577	0.1932013277
578	0.1930811188
579	0.1928647043
580	0.1927500081
581	0.1925220164
582	0.1922935904
583	0.1920558132
584	0.1919700438
585	0.1917402998
586	0.1915283394
587	0.1914800019
588	0.1913009524
589	0.1910468605
590	0.1908529432
591	0.1907114728
592	0.1905100355
593	0.1903268466
594	0.1900935338
595	0.1899164807
596	0.1897177076
597	0.1895239596
598	0.1894740676
599	0.1892844498
600	0.1891276851
601	0.1889438726
602	0.1887555398
603	0.1887000208
604	0.1884937135
605	0.1883901755
606	0.1882877067
607	0.1881173847
608	0.1879339326
609	0.1877387628
610	0.1877030416
611	0.1875319839
612	0.1873684945
613	0.1871692053
614	0.187083168
615	0.1869025295
616	0.1867275787
617	0.1865936046
618	0.1864161362
619	0.1862956301
620	0.186087633
621	0.1860320334
622	0.1858572995
623	0.1856696674
624	0.185615125
625	0.1854281387
626	0.1852568669
627	0.185088965
628	0.1850172081
629	0.1848821835
630	0.1848284779
631	0.1847523625
632	0.1845727477
633	0.1843883961
634	0.1843578772
635	0.1842026399
636	0.1840052603
637	0.1838164726
638	0.1836922458
639	0.1835467586
640	0.1833668526
641	0.1831766185
642	0.1829975203
643	0.182808549
644	0.1827397179
645	0.1826181309
646	0.1825447512
647	0.1823499476
648	0.1821962704
649	0.1820064885
650	0.1818763045
651	0.1817205237
652	0.1815401356
653	0.1813912416
654	0.1812233841
655	0.1810915768
656	0.1809272854
657	0.1808008684
658	0.1807468196
659	0.1806857592
660	0.1805299366
661	0.1803761448
662	0.1802280907
663	0.1800507807
664	0.1798634508
665	0.1796867237
666	0.1795539466
667	0.1794194661
668	0.1792751873
669	0.1791186578
670	0.1790756746
671	0.1789266674
672	0.1787597558
673	0.1786004068
674	0.1785500491
675	0.1784438225
676	0.1782710516
677	0.1781929951
678	0.1780386913
679	0.1778863737
680	0.1777046826
681	0.1775778771
682	0.1774380829
683	0.177268389
684	0.1772130476
685	0.1770369336
686	0.1768915804
687	0.1767346236
688	0.1765815504
689	0.1765498085
690	0.176505683
691	0.1764404015
692	0.1762960316
693	0.1761581446
694	0.1759851551
695	0.1758818667
696	0.1757187683
697	0.1756787307
698	0.1756030357
699	0.1754951353
700	0.1753404078
701	0.17518019
702	0.1750334796
703	0.1748644327
704	0.174730664
705	0.17457328
706	0.1744472323
707	0.174315769
708	0.1741660383
709	0.1740375659
710	0.1738981852
711	0.1737921971
712	0.1736278795
713	0.1735196343
714	0.173452087
715	0.1733106044
716	0.1731797176
717	0.1730550159
718	0.1729823473
719	0.1729269855
720	0.1727901108
721	0.172608998
722	0.1724760767
723	0.1724409516
724	0.1723306842
725	0.172245188
726	0.1721695272
727	0.1720338198
728	0.1718934146
729	0.1718018061
730	0.1716597765
731	0.171548117
732	0.1714513165
733	0.1713020072
734	0.1712593665
735	0.1711202397
736	0.1710038929
737	0.1708620921
738	0.1707087125
739	0.1706391244
740	0.1705370807
741	0.1704398316
742	0.1702922221
743	0.1702090033
744	0.1701137853
745	0.1699660381
746	0.1698334609
747	0.1697022655
748	0.1695893761
749	0.1694627923
750	0.1693134836
751	0.1692017629
752	0.1691066883
753	0.1689576033
754	0.1689032448
755	0.1687626437
756	0.1686747423
757	0.1685789974
758	0.1684681882
759	0.1684429031
760	0.1683145441
761	0.1682413415
762	0.1681143659
763	0.1680173869
764	0.1679169363
765	0.1677882212
766	0.1676655153
767	0.1675394766
768	0.1674386742
769	0.1673060566
770	0.1671849031
771	0.1670811467
772	0.1670239534
773	0.1669537557
774	0.1668366143
775	0.1667197158
776	0.1666454751
777	0.1665301763
778	0.1664404695
779	0.1664120198
780	0.1662823616
781	0.1661730826
782	0.1660929723
783	0.1659618106
784	0.1658544051
785	0.1657392865
786	0.1656882944
787	0.1655668551
788	0.1654500374
789	0.1653341135
790	0.1652497408
791	0.1651715
792	0.165070415
793	0.164990807
794	0.1648726756
795	0.1648363477
796	0.1647169717
797	0.16467511
798	0.1646111316
799	0.1645004672
800	0.1644578169
801	0.1643390832
802	0.1642271563
803	0.1641402028
